, 
,"""\""""
"""",""Auto Update Translation File"""
从剪贴板粘贴翻译文本,Paste translated text from clipboard
将剪贴板中由自动翻译网站等翻译的文本粘贴为翻译文本,Paste the clipboard text translated by an automatic translation site etc. as translated text
类型,Type
打开文件夹,Open Folder
合并源文本和翻译文本以创建文件,Combine source & translation to create file
合并源文本和翻译文本，并以 .csv 文件格式保存在 user_files 文件夹中,Combine the source text and the translated text and save it as a .csv file in the user_files folder
从 .py 文件中提取文本,Extract text from .py file
从附加组件中提取所有文本元素,Extract all text elements from the add-on
','
翻译文本的过程,Process for translated text
创建文件（覆盖）,Create File(Overwrite)
目录路径,Outdir Path
我保存文件的位置,Where I will save my stuff
扩展类型,Ext Type
标签,Tab
文件数据,File Data
更新间隔,Update Interval
自动更新文件,Auto Update File
文件名,File Name
文件来源,Source
翻译,Translated
翻译文本文件,Translated Text File
语言,Language
1.,1.
2.,2.
3.,3.
从文件夹中的 .py 文件提取文本,Extract text from .py in a folder
