, 
"""\""""
"""", ""调用 Pie Menu UI""","""\""""
"""",""Invoke Pie Menu UI"""
ATOMIC_MT_main_pie,ATOMIC_MT_main_pie
删除所选类别中的所有数据块,Remove all data-blocks from the selected categories
小心！,CAUTION!
删除以下数据块？,Remove the following data-blocks?
删除所选类别中所有未使用的数据块,Remove all unused data-blocks from the selected categories
全部清除,Clean All
删除此项目中的所有收藏集,Remove all collections from this project
Nuke 收藏,Nuke Collections
删除此项目中的所有图片,Remove all images from this project
Nuke 图片,Nuke Images
移除此项目中的所有灯光,Remove all lights from this project
灯光,Nuke Lights
移除此项目中的所有材质,Remove all materials from this project
Nuke 材质,Nuke Materials
删除此项目中的所有节点组,Remove all node groups from this project
节点组,Nuke Node Groups
移除此项目中的所有粒子系统,Remove all particle systems from this project
核弹粒子,Nuke Particles
移除此项目中的所有纹理,Remove all textures from this project
Nuke 纹理,Nuke Textures
移除此项目中的所有世界,Remove all worlds from this project
核弹世界,Nuke Worlds
删除此项目中所有未使用的收藏集,Remove all unused collections from this project
清除收藏集,Clean Collections
删除此项目中所有未使用的图片,Remove all unused images from this project
清除图像,Clean Images
删除此项目中所有未使用的灯光,Remove all unused lights from this project
清洁灯光,Clean Lights
删除此项目中所有未使用的材料,Remove all unused materials from this project
清除材料,Clean Materials
删除此项目中所有未使用的节点组,Remove all unused node groups from this project
清理节点组,Clean Node Groups
删除此项目中所有未使用的粒子系统,Remove all unused particle systems from this project
清理粒子,Clean Particles
删除项目中所有未使用的纹理,Remove all unused textures from this project
清理纹理,Clean Textures
删除此项目中所有未使用的世界,Remove all unused worlds from this project
清理世界,Clean Worlds
为数据块命名,Give this data-block a new name
重命名数据块,Rename Data-Block
将此数据块的所有实例替换为另一个数据块,Replace all instances of this data-block with another data-block
替换数据块,Replace Data-Block
保存此数据块，即使它没有用户,Save this data-block even if it has no users
切换假用户,Toggle Fake User
复制该数据块,Make an exact copy of this data-block
复制数据块,Duplicate Data-Block
从项目中强制删除此数据块,Forcibly remove this data-block from the project
删除数据块,Delete Data-Block
清除,Clean
撤销之前的操作,Undo the previous action
撤销,Undo
自动选择未使用数据的类别,Auto-select categories with unused data
智能选择,Smart Select
选择所有类别,Select all categories
全部选择,Select All
取消选择所有类别,Deselect all categories
全部取消选择,Deselect All
重新加载丢失的文件,Reload missing files
重新加载丢失的文件,Reload Missing Files
重新加载丢失的文件报告,Reload report for missing files
丢失文件重新加载报告,Missing File Reload Report
Atomic 无法重新加载以下文件：,Atomic was unable to reload the following files:
所有文件已成功重新加载！,All files successfully reloaded!
删除此项目中所有丢失的文件,Remove all missing files from this project
删除丢失的文件,Remove Missing Files
在指定目录中搜索丢失的文件,Search a specified directory for the missing files
搜索丢失的文件,Search for Missing Files
不支持的操作！,Unsupported Operation!
用新文件替换每个丢失的文件,Replace each missing file with a new file
替换丢失的文件,Replace Missing Files
"""打开 Remington Creative （""支持我""）网页","""Opens the Remington Creative \\""Support Me\\"" webpage"""
支持我,Support Me
检查收藏,Inspect Collections
检查图像,Inspect Images
检查灯光,Inspect Lights
检查材料,Inspect Materials
检查节点组,Inspect Node Groups
检查粒子系统,Inspect Particle Systems
检查粒子,Inspect Particles
检查纹理,Inspect Textures
检查世界,Inspect Worlds
原子数据管理器主面板,The main Atomic Data Manager panel
原子数据管理器,Atomic Data Manager
场景,scene
核弹,Nuke
收藏,Collections
灯光,Lights
节点组,Node Groups
纹理,Textures
图像,Images
材质,Materials
粒子,Particles
世界,Worlds
','
检测项目中丢失的文件,Detect missing files in this project
缺失文件检测,Missing File Detection
Atomic 检测到该项目中有一个或多个文件丢失。,Atomic has detected one or more missing files in 
您想做什么？,What would you like to do?
没有发现丢失的文件！,No missing files were found!
全部,Nuke All
检测丢失的文件,Detect Missing Files
检查,Inspect
ATOMIC_MT_inspect_pie,ATOMIC_MT_inspect_pie
ATOMIC_MT_nuke_pie,ATOMIC_MT_nuke_pie
ATOMIC_MT_clean_pie,ATOMIC_MT_clean_pie
原子核弹,Atomic Nuke
原子清洁,Atomic Clean
原子检查,Atomic Inspect
窗口,Window
atomic.invoke_pie_menu_ui,atomic.invoke_pie_menu_ui
在启动时显示警告，如果原子检测到 ,Display a warning on startup if Atomic detects 
偶尔显示弹出窗口，询问您是否愿意 ,Occasionally display a popup asking if you would 
在未使用的数据块中只包含虚假用户 ,Include data-blocks with only fake users in unused 
启用原子饼状菜单用户界面，以便清理 ,"Enable the Atomic pie menu UI, so you can clean "
自动检查更新,Auto-check for Update
如果启用，自动检查更新的时间间隔为,"If enabled, auto-check for updates using an interval"
月数,Months
检查更新的间隔月数,Number of months between checking for updates
天数,Days
检查更新之间的天数,Number of days between checking for updates
小时数,Hours
两次检查更新之间的小时数,Number of hours between checking for updates
分钟,Minutes
检查更新之间的间隔分钟数,Number of minutes between checking for updates
