"使用“折叠其他集合”时，保持所有选定对象展开","Keep all selected objects expanded when using 'Collapse other collections'"
"在大纲视图中选择","Select in Outliner"
"用于检测大纲视图中的点击，以便在大纲视图中临时禁用自动高亮显示。","Used to detect clicks in outliner to temporarily disable auto hightlight while you are in outliner."
"在视窗中选择","Select in Viewport"
"用于检测视窗中的点击，以便在点击大纲视图时暂时禁用自动高亮后重新启用自动高亮。","Used to detect clicks in viewport to reenable auto hightlight after it was temporarily disabled when you clicked in outliner."
"确保你把所有的东西都折叠了","Make sure you collapse all"
"使用此功能前，请先按 SHIFT+A ","collections once using SHIFT+A"
"如果集合展开而不是折叠，","before using this.Press again if"
"请再按一次。","collections expand instead of collapsing!"
"3D 视图","3D View"
"大纲视图","Outliner"
"自动高亮","Auto Highlight"
"折叠其他集合","Collapse Other Collections"
"临时关闭自动高亮","Auto Highlight Temp Disable"
"打开下载页面","Open Downloads Page"
"更新详情：","Update Information:"
"更新消息：","Update Message:"
"下载链接","Download Page URL"
"插件已更新！","Addon is Up to Date!"
"有新版本","Update Available"
"检查更新","Check for Updates"
"启动时检查更新","Check for Updates on Boot!"
