, 
"""\""""","""\""""
"""",""Select Empty"""
""""", ""选择空""",'
空 ID,EmptyID
替换图像,Replace Image
StampID,StampID
移除印章,Remove stamp
移除ID,RemoveID
刷新图章ID,Refresh StampID
修复纵横比,Fix Aspect Ratio
Don,Don
盖章！,Stamp It!
执行,EXEC_DEFAULT
INVOKE_DEFAULT,INVOKE_DEFAULT
选择要盖印的对象。,Select an object to stamp.
在视口中移动图章以查看效果。,Move the stamp in viewport to see effect.
这只是控制图章位置的空。,This is just the empty that controls the stamp position.
要更改或删除印记，请选择印记所应用的对象。,"To change or delete the stamp, select the object that the stamp is applied to."
盖印,Stamp It
设置,Settings
图章自动粘贴到表面,Stamps Auto Stick To Surfaces
存储指针,StoredPointer
存储的群组名称,StoredGroupName
存储的空指针,StoredEmptyPointer
纹理坐标名称,TextureCoordName
旧节点名称,OldNodeName
图像文件夹,ImageHolder
存储父节点,StoreParent
是否为父节点,Is Parented
布尔变换,TransformBoolean
空命名指针,EmptyRenamePointer
布尔切换,TransformBooleanToggle
,
